0,0,0,0,0,0,0,0,0,0,0,0
0,24,60,60,60,24,24,0,24,24,0,0
54,54,54,20,0,0,0,0,0,0,0,0
0,108,108,108,254,108,108,254,108,108,0,0
24,24,124,198,192,120,60,6,198,124,24,24
0,0,0,98,102,12,24,48,102,198,0,0
0,56,108,56,56,118,246,206,204,118,0,0
12,12,12,24,0,0,0,0,0,0,0,0
0,12,24,48,48,48,48,48,24,12,0,0
0,48,24,12,12,12,12,12,24,48,0,0
0,0,0,108,56,254,56,108,0,0,0,0
0,0,0,24,24,126,24,24,0,0,0,0
0,0,0,0,0,0,0,12,12,12,24,0
0,0,0,0,0,254,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24,24,0,0
0,0,2,6,12,24,48,96,192,128,0,0
0,124,198,206,222,246,230,198,198,124,0,0
0,24,120,24,24,24,24,24,24,126,0,0
0,124,198,198,12,24,48,96,198,254,0,0
0,124,198,6,6,60,6,6,198,124,0,0
0,12,28,60,108,204,254,12,12,12,0,0
0,254,192,192,192,252,6,6,198,124,0,0
0,124,198,192,192,252,198,198,198,124,0,0
0,254,198,12,24,48,48,48,48,48,0,0
0,124,198,198,198,124,198,198,198,124,0,0
0,124,198,198,198,126,6,6,198,124,0,0
0,0,0,12,12,0,0,12,12,0,0,0
0,0,0,12,12,0,0,12,12,12,24,0
0,12,24,48,96,192,96,48,24,12,0,0
0,0,0,0,254,0,254,0,0,0,0,0
0,96,48,24,12,6,12,24,48,96,0,0
0,124,198,198,12,24,24,0,24,24,0,0
0,124,198,198,222,222,222,220,192,126,0,0
0,56,108,198,198,198,254,198,198,198,0,0
0,252,102,102,102,124,102,102,102,252,0,0
0,60,102,192,192,192,192,192,102,60,0,0
0,248,108,102,102,102,102,102,108,248,0,0
0,254,102,96,96,124,96,96,102,254,0,0
0,254,102,96,96,124,96,96,96,240,0,0
0,124,198,198,192,192,206,198,198,124,0,0
0,198,198,198,198,254,198,198,198,198,0,0
0,60,24,24,24,24,24,24,24,60,0,0
0,60,24,24,24,24,24,216,216,112,0,0
0,198,204,216,240,240,216,204,198,198,0,0
0,240,96,96,96,96,96,98,102,254,0,0
0,198,198,238,254,214,214,214,198,198,0,0
0,198,198,230,230,246,222,206,206,198,0,0
0,124,198,198,198,198,198,198,198,124,0,0
0,252,102,102,102,124,96,96,96,240,0,0
0,124,198,198,198,198,198,198,214,124,6,0
0,252,102,102,102,124,120,108,102,230,0,0
0,124,198,192,96,56,12,6,198,124,0,0
0,126,90,24,24,24,24,24,24,60,0,0
0,198,198,198,198,198,198,198,198,124,0,0
0,198,198,198,198,198,198,108,56,16,0,0
0,198,198,214,214,214,254,238,198,198,0,0
0,198,198,108,56,56,56,108,198,198,0,0
0,102,102,102,102,60,24,24,24,60,0,0
0,254,198,140,24,48,96,194,198,254,0,0
0,124,96,96,96,96,96,96,96,124,0,0
0,0,128,192,96,48,24,12,6,2,0,0
0,124,12,12,12,12,12,12,12,124,0,0
16,56,108,198,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,255
24,24,24,12,0,0,0,0,0,0,0,0
0,0,0,0,120,12,124,204,220,118,0,0
0,224,96,96,124,102,102,102,102,252,0,0
0,0,0,0,124,198,192,192,198,124,0,0
0,28,12,12,124,204,204,204,204,126,0,0
0,0,0,0,124,198,254,192,198,124,0,0
0,28,54,48,48,252,48,48,48,120,0,0
0,0,0,0,118,206,198,198,126,6,198,124
0,224,96,96,108,118,102,102,102,230,0,0
0,24,24,0,56,24,24,24,24,60,0,0
0,12,12,0,28,12,12,12,12,204,204,120
0,224,96,96,102,108,120,108,102,230,0,0
0,56,24,24,24,24,24,24,24,60,0,0
0,0,0,0,108,254,214,214,198,198,0,0
0,0,0,0,220,102,102,102,102,102,0,0
0,0,0,0,124,198,198,198,198,124,0,0
0,0,0,0,220,102,102,102,124,96,96,240
0,0,0,0,118,204,204,204,124,12,12,30
0,0,0,0,220,102,96,96,96,240,0,0
0,0,0,0,124,198,112,28,198,124,0,0
0,48,48,48,252,48,48,48,54,28,0,0
0,0,0,0,204,204,204,204,204,118,0,0
0,0,0,0,198,198,198,108,56,16,0,0
0,0,0,0,198,198,214,214,254,108,0,0
0,0,0,0,198,108,56,56,108,198,0,0
0,0,0,0,198,198,198,206,118,6,198,124
0,0,0,0,254,140,24,48,98,254,0,0
0,14,24,24,24,112,24,24,24,14,0,0
0,24,24,24,24,0,24,24,24,24,0,0
0,112,24,24,24,14,24,24,24,112,0,0
0,118,220,0,0,0,0,0,0,0,0,0
